cell_name,crate_label,specific_energy_wh_kg,specific_power_w_kg,technology
BCAP3000,gcpl_maxwell3000F_1_5A,2.3125081332575954,6.342647552490234,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.331478681607733,6.327849388122559,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.3502644641805484,6.313052177429199,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.368410731777036,6.298254013061523,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.387807675911528,6.283547878265381,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.406949650189948,6.268567085266113,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.425594152554266,6.2538604736328125,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.4442988343351884,6.239062786102295,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.4629939625825705,6.224356651306152,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.481506680124291,6.209558486938477,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.4998030521383203,6.194761276245117,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.5180556353556134,6.179871559143066,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.537224592193826,6.165073871612549,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.5553898681188607,6.150367736816406,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.573852763887011,6.135478019714356,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.592168497966914,6.120404243469238,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.610642663858961,6.105146884918213,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.6294777872439217,6.09025764465332,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.647219456863734,6.0754594802856445,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.665558345116661,6.060569763183594,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.6836842288964258,6.045772075653076,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.701966525592057,6.030607223510742,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.719902026780143,6.015625,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.738327252143533,6.000827312469482,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.755974432482945,5.985937595367432,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.773810405203704,5.971139907836914,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.7914697048345,5.9563422203063965,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.809217383739924,5.941544055938721,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.82672311091089,5.926746368408203,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.844514038449541,5.9119486808776855,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.8620636719202017,5.897150993347168,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.879536602060748,5.882352828979492,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.897063411144774,5.8674635887146,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.914480824816589,5.852665901184082,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.931691751212928,5.837775707244873,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.949571572864886,5.822978019714356,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.9668566291796883,5.808088302612305,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.9842907854530223,5.793198585510254,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.000972908080473,5.77821683883667,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.0184775830931327,5.763327598571777,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.035617594964925,5.748621463775635,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.052235243387213,5.733823299407959,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.0690327545426173,5.7190260887146,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.086231097700092,5.704228401184082,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.103321447356957,5.689338684082031,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.120083167677052,5.674540519714356,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.1368012343510165,5.659742832183838,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.1537265882674927,5.644761085510254,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.1703568056676823,5.629962921142578,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.187068179119372,5.6150736808776855,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.2035796651788075,5.600275993347168,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.2198922221172417,5.585477828979492,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.2368739533311497,5.570405006408691,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.253006802495555,5.555698394775391,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.26922016630836,5.540900707244873,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.2862510544352594,5.526103496551514,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.302531231762772,5.511305332183838,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.318461850264721,5.496416091918945,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.33462381918808,5.481525421142578,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.3511675688748115,5.466544628143311,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.367362760195374,5.451562881469727,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.38321105912942,5.436581134796143,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.3996192528454228,5.421782970428467,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.4157420848976026,5.406985759735107,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.43140075158841,5.392095565795898,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.447315386070254,5.377205848693848,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,3.4632755085174947,5.362316131591797,Li-ion
